SvcId,SvcDate,Model,Plate,Svc_Center,Mileage,Nxt_Mileage,Nxt_Date,Labour_Chrg,Amount
0,27/03/2020,,,,,,,
1,16/04/2019,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,120715,125715,14/07/2019,0.0,466.6
2,20/09/2018,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,111783,116783,19/12/2018,0.0,429.35
3,18/04/2019,EXORA 1.6 (A),AGU4004,BENGKEL KERETA WAN,120715,125715,14/07/2019,0.0,60.0
4,28/11/2019,EXORA 1.6 (A),AGU4004,CAR SPA SDN BHD,128264,133264,28/02/2020,0.0,279.5
5,28/11/2019,EXORA 1.6 (A),AGU4004,BENGKEL KERETA WAN,128264,133264,28/02/2020,0.0,499.0
6,13/03/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,993,1000,03/09/2018,0.0,0.0
7,24/05/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,9900,19900,24/11/2018,0.0,184.7
8,13/09/2018,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,24000,34000,13/03/2019,0.0,260.7
9,26/03/2019,BEZZA - 1300 X (AUTO),AKX6455,DMM SALES SDN BHD,34421,44421,26/09/2019,0.0,330.65
10,01/08/2019,BEZZA - 1300 X (AUTO),AKX6455,PERODUA SALES TASEK IPOH,44884,54884,01/02/2019,0.0,304.55
11,10/03/2020,BEZZA - 1300 X (AUTO),AKX6455,PERODUA SALES TASEK IPOH,55108,65108,10/09/2020,0.0,380.30
